libact,codact
Location de matériel de bricolage et équipement de la maison,SA307
"Vidéo Club (Location de cassettes, DVD)",SA401
Billetterie - Réservation spectacles,SA403
Discothèque et club privé,SA404
Salle multisports,SA405
Salle de sport  spécialisée,SA406
Salle ou club de jeux,SA407
Cinéma,SA408
Photocopies,SA501
Gravure,SA502
Reliure et finition,SA503
Déménagement / Garde meuble,SA504
Agence voyage-tourisme - Compagnies aériennes,SA505
Agence Pôle emploi,SA506
Agence d'intérim,SA507
Développement rapide - Vente pellicule photo,SA508
Ecole de conduite,SA509
Pompes funèbres,SA510
Toilettage et équipements pour animaux,SA511
Libre service informatique - Cybercafé,SA512
Cours scolaires/parascolaires (Acadomia…),SA513
"Cours formation professionnelle (langues, informatique…)",SA514
"Cours activités culturelles et de loisirs (poterie, danse…)",SA515
"Services à la personne (nettoyage, aide personnes âgées…)",SA516
Agence immobilière,SB101
Banque - Caisse d'épargne,SB201
Distributeur automatique de billets (non lié à une banque),SB202
Assurances,SB203
Bureau de change,SB204
Achat - Vente d'or,SB205
Bureau de poste,SB301
Courses et courrier express,SB302
Télécommunication en boutique,SB303
NA,NA
